"","Account_status","Duration","Credit_history","Purpose","Amount","Savings","Employment","Installment_rate","Guarantors","Resident_since","Property","Age","Other_plans","Housing","Num_credits","Job","People_maintenance","Phone","Foreign","BAD","Female"
"12","< 0 DM",48,"existing credits paid back duly till now","business",4308,"< 100 DM","< 1 year",3,"none",4,"building society savings agreement / life insurance",24,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"13","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1567,"< 100 DM","1  <= ... < 4 years",1,"none",1,"car or other",22,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"14","< 0 DM",24,"critical account / other credits existing (not at this bank)","car (new)",1199,"< 100 DM",">= 7 years",4,"none",4,"car or other",60,"none","A152",2,"unskilled - resident",1,"none","yes","BAD","Female"
"15","< 0 DM",15,"existing credits paid back duly till now","car (new)",1403,"< 100 DM","1  <= ... < 4 years",2,"none",4,"car or other",28,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"16","< 0 DM",24,"existing credits paid back duly till now","radio / television",1282,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",2,"car or other",32,"none","A152",1,"unskilled - resident",1,"none","yes","BAD","Male"
"17","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2424,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",53,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"18","< 0 DM",30,"no credits taken / all credits paid back duly","business",8072,"unknown / no savings account","< 1 year",2,"none",3,"car or other",25,"bank","A152",3,"skilled employee / official",1,"none","yes","GOOD","Female"
"19","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (used)",12579,"< 100 DM",">= 7 years",4,"none",2,"unknown / no property",44,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Male"
"20","no checking account",24,"existing credits paid back duly till now","radio / television",3430,"500 <= ... < 1000 DM",">= 7 years",3,"none",2,"car or other",31,"none","A152",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Female"
"21","no checking account",9,"critical account / other credits existing (not at this bank)","car (new)",2134,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",48,"none","A152",3,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"22","< 0 DM",6,"existing credits paid back duly till now","radio / television",2647,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",3,"real estate",44,"none","A151",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"23","< 0 DM",10,"critical account / other credits existing (not at this bank)","car (new)",2241,"< 100 DM","< 1 year",1,"none",3,"real estate",48,"none","A151",2,"unskilled - resident",2,"none","no","GOOD","Female"
"24","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1804,"100 <= ... <  500 DM","< 1 year",3,"none",4,"building society savings agreement / life insurance",44,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"25","no checking account",10,"critical account / other credits existing (not at this bank)","furniture / equipment",2069,"unknown / no savings account","1  <= ... < 4 years",2,"none",1,"car or other",26,"none","A152",2,"skilled employee / official",1,"none","no","GOOD","Female"
"26","< 0 DM",6,"existing credits paid back duly till now","furniture / equipment",1374,"< 100 DM","1  <= ... < 4 years",1,"none",2,"real estate",36,"bank","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Female"
"27","no checking account",6,"no credits taken / all credits paid back duly","radio / television",426,"< 100 DM",">= 7 years",4,"none",4,"car or other",39,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"28",">= 200 DM",12,"all credits at this bank paid back duly","radio / television",409,">= 1000 DM","1  <= ... < 4 years",3,"none",3,"real estate",42,"none","A151",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"29","0 < ... <  200 DM",7,"existing credits paid back duly till now","radio / television",2415,"< 100 DM","1  <= ... < 4 years",3,"guarantor",2,"real estate",34,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"30","< 0 DM",60,"delay in paying off in the past","business",6836,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",63,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"31","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",1913,">= 1000 DM","< 1 year",3,"none",3,"real estate",36,"bank","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"32","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",4020,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",27,"stores","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"33","0 < ... <  200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",2,"car or other",30,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"34","no checking account",12,"critical account / other credits existing (not at this bank)","business",1264,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",57,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"35",">= 200 DM",12,"existing credits paid back duly till now","furniture / equipment",1474,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",33,"bank","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"36","0 < ... <  200 DM",45,"critical account / other credits existing (not at this bank)","radio / television",4746,"< 100 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",25,"none","A152",2,"unskilled - resident",1,"none","yes","BAD","Female"
"37","no checking account",48,"critical account / other credits existing (not at this bank)","education",6110,"< 100 DM","1  <= ... < 4 years",1,"none",3,"unknown / no property",31,"bank","A153",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"38",">= 200 DM",18,"existing credits paid back duly till now","radio / television",2100,"< 100 DM","1  <= ... < 4 years",4,"co-applicant",2,"real estate",37,"stores","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"39",">= 200 DM",10,"existing credits paid back duly till now","domestic appliances",1225,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",37,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"40","0 < ... <  200 DM",9,"existing credits paid back duly till now","radio / television",458,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",24,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"41","no checking account",30,"existing credits paid back duly till now","radio / television",2333,"500 <= ... < 1000 DM",">= 7 years",4,"none",2,"car or other",30,"bank","A152",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Female"
"42","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1158,"500 <= ... < 1000 DM","1  <= ... < 4 years",3,"none",1,"car or other",26,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"43","0 < ... <  200 DM",18,"delay in paying off in the past","repairs",6204,"< 100 DM","1  <= ... < 4 years",2,"none",4,"real estate",44,"none","A152",1,"unskilled - resident",2,"yes, registered under the customers name","yes","GOOD","Female"
"44","< 0 DM",30,"critical account / other credits existing (not at this bank)","car (used)",6187,"100 <= ... <  500 DM","4  <= ... < 7 years",1,"none",4,"car or other",24,"none","A151",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"45","< 0 DM",48,"critical account / other credits existing (not at this bank)","car (used)",6143,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",58,"stores","A153",2,"unskilled - resident",1,"none","yes","BAD","Male"
"46","no checking account",11,"critical account / other credits existing (not at this bank)","car (new)",1393,"< 100 DM","< 1 year",4,"none",4,"car or other",35,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Male"
"47","no checking account",36,"existing credits paid back duly till now","radio / television",2299,"500 <= ... < 1000 DM",">= 7 years",4,"none",4,"car or other",39,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"48","< 0 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 <= ... < 1000 DM","unemployed",1,"none",2,"building society savings agreement / life insurance",23,"none","A151",1,"unemployed / unskilled  - non-resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"49","no checking account",11,"critical account / other credits existing (not at this bank)","car (new)",7228,"< 100 DM","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",39,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"50","no checking account",12,"existing credits paid back duly till now","radio / television",2073,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"co-applicant",2,"real estate",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"51","0 < ... <  200 DM",24,"delay in paying off in the past","furniture / equipment",2333,"unknown / no savings account","< 1 year",4,"none",2,"building society savings agreement / life insurance",29,"bank","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"52","0 < ... <  200 DM",27,"delay in paying off in the past","car (used)",5965,"< 100 DM",">= 7 years",1,"none",2,"car or other",30,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"53","no checking account",12,"existing credits paid back duly till now","radio / television",1262,"< 100 DM","1  <= ... < 4 years",3,"none",2,"car or other",25,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"54","no checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown / no savings account","1  <= ... < 4 years",2,"none",1,"building society savings agreement / life insurance",31,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"55","0 < ... <  200 DM",36,"delay in paying off in the past","car (new)",2225,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",57,"bank","A153",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"56","no checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown / no savings account","1  <= ... < 4 years",1,"guarantor",2,"real estate",26,"stores","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"57","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",6468,"unknown / no savings account","unemployed",2,"none",1,"unknown / no property",52,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"58","no checking account",36,"critical account / other credits existing (not at this bank)","radio / television",9566,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",31,"stores","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"59",">= 200 DM",18,"existing credits paid back duly till now","car (new)",1961,"< 100 DM",">= 7 years",3,"none",2,"car or other",23,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Male"
"60","< 0 DM",36,"critical account / other credits existing (not at this bank)","furniture / equipment",6229,"< 100 DM","< 1 year",4,"co-applicant",4,"unknown / no property",23,"none","A151",2,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Male"
"61","0 < ... <  200 DM",9,"existing credits paid back duly till now","business",1391,"< 100 DM","1  <= ... < 4 years",2,"none",1,"real estate",27,"bank","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"62","0 < ... <  200 DM",15,"critical account / other credits existing (not at this bank)","radio / television",1537,"unknown / no savings account",">= 7 years",4,"guarantor",4,"real estate",50,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"63","0 < ... <  200 DM",36,"no credits taken / all credits paid back duly","business",1953,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",61,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"64","0 < ... <  200 DM",48,"no credits taken / all credits paid back duly","business",14421,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",25,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"65","no checking account",24,"existing credits paid back duly till now","radio / television",3181,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",26,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"66","no checking account",27,"existing credits paid back duly till now","repairs",5190,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",48,"none","A152",4,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Female"
"67","no checking account",12,"existing credits paid back duly till now","radio / television",2171,"< 100 DM","< 1 year",2,"none",2,"car or other",29,"bank","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"68","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1007,">= 1000 DM","1  <= ... < 4 years",4,"none",1,"real estate",22,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"69","no checking account",36,"existing credits paid back duly till now","education",1819,"< 100 DM","1  <= ... < 4 years",4,"none",4,"unknown / no property",37,"stores","A153",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"70","no checking account",36,"existing credits paid back duly till now","radio / television",2394,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"car or other",25,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"71","no checking account",36,"existing credits paid back duly till now","car (used)",8133,"< 100 DM","1  <= ... < 4 years",1,"none",2,"building society savings agreement / life insurance",30,"bank","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"72","no checking account",7,"critical account / other credits existing (not at this bank)","radio / television",730,"unknown / no savings account",">= 7 years",4,"none",2,"building society savings agreement / life insurance",46,"none","A151",2,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Female"
"73","< 0 DM",8,"critical account / other credits existing (not at this bank)","others",1164,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",51,"bank","A153",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","GOOD","Female"
"74","0 < ... <  200 DM",42,"critical account / other credits existing (not at this bank)","business",5954,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",41,"bank","A152",2,"unskilled - resident",1,"none","yes","GOOD","Male"
"75","< 0 DM",36,"existing credits paid back duly till now","education",1977,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",40,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"76","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1526,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",66,"none","A153",2,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Female"
"77","< 0 DM",42,"existing credits paid back duly till now","radio / television",3965,"< 100 DM","< 1 year",4,"none",3,"car or other",34,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"78","0 < ... <  200 DM",11,"delay in paying off in the past","radio / television",4771,"< 100 DM","4  <= ... < 7 years",2,"none",4,"building society savings agreement / life insurance",51,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"79","no checking account",54,"no credits taken / all credits paid back duly","car (used)",9436,"unknown / no savings account","1  <= ... < 4 years",2,"none",2,"building society savings agreement / life insurance",39,"none","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"80","0 < ... <  200 DM",30,"existing credits paid back duly till now","furniture / equipment",3832,"< 100 DM","< 1 year",2,"none",1,"building society savings agreement / life insurance",22,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"81","no checking account",24,"existing credits paid back duly till now","radio / television",5943,"unknown / no savings account","< 1 year",1,"none",1,"car or other",44,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"82","no checking account",15,"existing credits paid back duly till now","radio / television",1213,"500 <= ... < 1000 DM",">= 7 years",4,"none",3,"building society savings agreement / life insurance",47,"stores","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"83","no checking account",18,"existing credits paid back duly till now","business",1568,"100 <= ... <  500 DM","1  <= ... < 4 years",3,"none",4,"building society savings agreement / life insurance",24,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"84","< 0 DM",24,"existing credits paid back duly till now","others",1755,"< 100 DM",">= 7 years",4,"guarantor",4,"real estate",58,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"85","< 0 DM",10,"existing credits paid back duly till now","radio / television",2315,"< 100 DM",">= 7 years",3,"none",4,"real estate",52,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"86","no checking account",12,"critical account / other credits existing (not at this bank)","business",1412,"< 100 DM","1  <= ... < 4 years",4,"guarantor",2,"real estate",29,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"87","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",1295,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",27,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"88","0 < ... <  200 DM",36,"existing credits paid back duly till now","education",12612,"100 <= ... <  500 DM","1  <= ... < 4 years",1,"none",4,"unknown / no property",47,"none","A153",1,"skilled employee / official",2,"yes, registered under the customers name","yes","BAD","Female"
"89","< 0 DM",18,"existing credits paid back duly till now","car (new)",2249,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"car or other",30,"none","A152",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","GOOD","Female"
"90","< 0 DM",12,"no credits taken / all credits paid back duly","repairs",1108,"< 100 DM","4  <= ... < 7 years",4,"none",3,"real estate",28,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"91","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",618,"< 100 DM",">= 7 years",4,"none",4,"real estate",56,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"92","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1409,"< 100 DM",">= 7 years",4,"none",3,"real estate",54,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"93","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",797,"unknown / no savings account",">= 7 years",4,"none",3,"building society savings agreement / life insurance",33,"bank","A152",1,"unskilled - resident",2,"none","yes","BAD","Male"
"94",">= 200 DM",24,"critical account / other credits existing (not at this bank)","furniture / equipment",3617,"unknown / no savings account",">= 7 years",4,"co-applicant",4,"unknown / no property",20,"none","A151",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"95","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1318,">= 1000 DM",">= 7 years",4,"none",4,"real estate",54,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"96","0 < ... <  200 DM",54,"no credits taken / all credits paid back duly","business",15945,"< 100 DM","< 1 year",3,"none",4,"unknown / no property",58,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"97","no checking account",12,"critical account / other credits existing (not at this bank)","education",2012,"unknown / no savings account","4  <= ... < 7 years",4,"none",2,"car or other",61,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"98","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",2622,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",4,"car or other",34,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"99","0 < ... <  200 DM",36,"critical account / other credits existing (not at this bank)","radio / television",2337,"< 100 DM",">= 7 years",4,"none",4,"real estate",36,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"100","0 < ... <  200 DM",20,"delay in paying off in the past","car (used)",7057,"unknown / no savings account","4  <= ... < 7 years",3,"none",4,"building society savings agreement / life insurance",36,"bank","A151",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","GOOD","Female"
"101","no checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 <= ... <  500 DM",">= 7 years",4,"none",4,"real estate",41,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"102","0 < ... <  200 DM",36,"existing credits paid back duly till now","radio / television",2323,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",24,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"103","no checking account",6,"delay in paying off in the past","radio / television",932,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",24,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"104","0 < ... <  200 DM",9,"critical account / other credits existing (not at this bank)","furniture / equipment",1919,"< 100 DM","4  <= ... < 7 years",4,"none",3,"car or other",35,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"105","no checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown / no savings account","< 1 year",2,"none",4,"car or other",26,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"106","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","others",11938,"< 100 DM","1  <= ... < 4 years",2,"co-applicant",3,"car or other",39,"none","A152",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","BAD","Female"
"107","no checking account",18,"all credits at this bank paid back duly","car (new)",6458,"< 100 DM",">= 7 years",2,"none",4,"unknown / no property",39,"bank","A152",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","BAD","Female"
"108","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",6078,"< 100 DM","4  <= ... < 7 years",2,"none",2,"car or other",32,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"109","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",7721,"unknown / no savings account","< 1 year",1,"none",2,"building society savings agreement / life insurance",30,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","no","GOOD","Male"
"110","0 < ... <  200 DM",14,"existing credits paid back duly till now","business",1410,"500 <= ... < 1000 DM",">= 7 years",1,"none",2,"real estate",35,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"111","0 < ... <  200 DM",6,"delay in paying off in the past","business",1449,"100 <= ... <  500 DM",">= 7 years",1,"none",2,"car or other",31,"bank","A152",2,"skilled employee / official",2,"none","yes","GOOD","Female"
"112",">= 200 DM",15,"existing credits paid back duly till now","education",392,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",23,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"113","0 < ... <  200 DM",18,"existing credits paid back duly till now","car (new)",6260,"< 100 DM","4  <= ... < 7 years",3,"none",3,"real estate",28,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"114","no checking account",36,"critical account / other credits existing (not at this bank)","car (new)",7855,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",25,"stores","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"115","< 0 DM",12,"existing credits paid back duly till now","radio / television",1680,"500 <= ... < 1000 DM",">= 7 years",3,"none",1,"real estate",35,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"116","no checking account",48,"critical account / other credits existing (not at this bank)","radio / television",3578,"unknown / no savings account",">= 7 years",4,"none",1,"real estate",47,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"117","< 0 DM",42,"existing credits paid back duly till now","radio / television",7174,"unknown / no savings account","4  <= ... < 7 years",4,"none",3,"car or other",30,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Male"
"118","< 0 DM",10,"critical account / other credits existing (not at this bank)","furniture / equipment",2132,"unknown / no savings account","< 1 year",2,"co-applicant",3,"real estate",27,"none","A151",2,"skilled employee / official",1,"none","no","GOOD","Male"
"119","< 0 DM",33,"critical account / other credits existing (not at this bank)","furniture / equipment",4281,"500 <= ... < 1000 DM","1  <= ... < 4 years",1,"none",4,"car or other",23,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Male"
"120","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",2366,"500 <= ... < 1000 DM","4  <= ... < 7 years",3,"none",3,"car or other",36,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"121","< 0 DM",21,"existing credits paid back duly till now","radio / television",1835,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",25,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"122","no checking account",24,"critical account / other credits existing (not at this bank)","car (used)",3868,"< 100 DM",">= 7 years",4,"none",2,"car or other",41,"none","A151",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"123","no checking account",12,"existing credits paid back duly till now","furniture / equipment",1768,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",24,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"124",">= 200 DM",10,"critical account / other credits existing (not at this bank)","car (new)",781,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",63,"none","A153",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
